FID	U_DN_PPM	POINT_X	POINT_Y
4723	1,9	-78,2779	35,7755
4726	1,3	-78,2008	35,7762
4735	4,6	-78,1342	35,7779
4736	3	-77,0477	35,7781
4739	17	-78,0174	35,7791
4740	4	-77,8753	35,7794
4745	4,7	-78,1449	35,7808
4746	12,7	-78,0526	35,7808
4748	7,1	-78,3271	35,7815
4749	3,9	-77,6202	35,7816
4752	3,7	-77,5656	35,7822
4761	4,3	-77,3407	35,7834
4762	4	-76,9063	35,7841
4763	3,8	-76,9063	35,7841
4768	6,6	-77,1488	35,7859
4770	2,9	-77,9491	35,7862
4800	2,7	-77,2946	35,7905
4804	7,4	-77,8452	35,7918
4806	3	-77,7299	35,7919
4814	2,5	-76,9495	35,7928
4815	2,7	-77,1046	35,7931
4819	13,5	-78,0686	35,794
4820	3,3	-77,3734	35,7941
4825	19,8	-78,0232	35,795
4860	3,2	-76,8792	35,8004
4861	4,1	-76,8792	35,8004
4866	46,4	-77,9359	35,8029
4867	2,1	-77,3005	35,803
4877	6,8	-78,3756	35,8045
4881	2,4	-78,1782	35,805
4889	7,3	-77,9621	35,8071
4896	3,4	-77,4893	35,8086
4909	2,6	-78,236	35,8111
4911	1,6	-78,2694	35,8112
4912	8,2	-77,9185	35,8112
4927	4,8	-77,703	35,8143
4929	2,8	-77,2653	35,8154
4931	2,8	-77,7495	35,8161
4934	2,2	-77,789	35,8167
4936	3,7	-77,8686	35,817
4938	4,1	-78,5014	35,8175
4939	3,9	-77,088	35,8178
4948	3,7	-77,6598	35,8193
4949	2,7	-77,2165	35,8197
4952	1,6	-78,0629	35,8204
4955	12,3	-77,9965	35,8207
4966	2,8	-77,8394	35,8218
4969	3,6	-78,141	35,822
4970	3	-76,7365	35,8221
4976	2,1	-76,8365	35,8237
4998	8,6	-78,0026	35,8296
5016	4	-78,1847	35,8323
5029	2,9	-77,8874	35,8344
5038	1,9	-77,4139	35,8361
5041	4,6	-76,5954	35,8367
5042	5,2	-78,3609	35,8369
5043	4,3	-77,2141	35,8369
5048	1,8	-77,7027	35,8379
5054	4,3	-77,8361	35,8386
5055	4,3	-78,2719	35,8391
5056	9	-77,3685	35,8392
5057	12,9	-78,5416	35,8394
5058	1,9	-77,2944	35,8398
5059	2,6	-77,2944	35,8398
5064	3,9	-77,572	35,8402
5073	2,6	-77,7619	35,8415
5075	1,8	-76,4644	35,8422
5076	7,7	-78,3786	35,8423
5078	2,2	-77,1401	35,8432
5092	10,2	-78,0953	35,8445
5106	8,1	-77,8531	35,8461
5115	2,9	-77,4758	35,8474
5117	2,5	-78,1757	35,8485
5118	4	-78,3749	35,8487
5119	5,9	-78,0597	35,8488
5122	7,2	-76,7214	35,8493
5132	2,2	-77,8064	35,851
5150	8,2	-77,5279	35,8535
5151	1,8	-78,1532	35,8537
5156	2,5	-78,2334	35,8544
5159	3,3	-76,6281	35,8547
5162	4,5	-78,4771	35,8549
5174	6,6	-78,3676	35,8571
5175	3,4	-78,1005	35,8571
5180	4,1	-77,9648	35,8595
5183	3,4	-78,1967	35,8604
5192	1,9	-77,2458	35,8621
5193	2	-77,2458	35,8621
5194	3,9	-77,6522	35,8623
5203	3	-77,4436	35,8642
5208	1,4	-78,2282	35,8652
5209	9,9	-78,2977	35,8654
5225	10,3	-78,2826	35,8698
5232	9,9	-78,2782	35,8711
5233	1,7	-77,3934	35,8711
5239	12,6	-78,2051	35,8721
5240	2,1	-78,1625	35,8721
5245	3,4	-77,7964	35,8739
5246	1,7	-77,6945	35,8742
5248	8,8	-76,6612	35,8743
5251	4,1	-78,1949	35,875
5261	4	-77,1573	35,8763
5269	3,3	-77,7349	35,8774
5273	3,2	-77,2021	35,8775
5278	4,3	-78,5474	35,8796
5298	3,9	-76,6254	35,8833
5320	6,2	-78,5623	35,8877
5337	3,6	-77,2495	35,8911
5353	5,9	-77,8572	35,895
5359	3,2	-78,0443	35,8961
5360	8,9	-77,9915	35,8961
5363	1,6	-77,6129	35,8963
5369	2,9	-76,6021	35,8973
5373	5,8	-76,8861	35,8977
5374	10,8	-78,3324	35,8983
5411	4,4	-77,4013	35,9044
5414	10,8	-77,9954	35,9046
5417	55,1	-78,3168	35,905
5422	4,7	-78,5249	35,9063
5424	2,3	-78,2224	35,907
5425	2,5	-77,6671	35,9072
5426	6,6	-76,9204	35,9072
5427	3,4	-77,7562	35,9078
5432	3,4	-77,4889	35,9084
5439	4,7	-78,377	35,9091
5441	1,9	-76,5397	35,9095
5455	1,1	-78,6234	35,912
5467	0,9	-77,368	35,9147
5468	2,4	-78,0477	35,9148
5469	4,4	-78,5057	35,9152
5471	3,2	-78,39	35,9155
5479	3,3	-76,4911	35,9172
5486	4	-78,1698	35,9187
5489	15,6	-78,5336	35,9189
5493	2,9	-77,2753	35,9193
5504	3,5	-77,1904	35,9213
5513	3,6	-78,6032	35,9241
5519	8,2	-78,0482	35,9246
5527	4,5	-77,8792	35,9262
5530	9,8	-78,2587	35,9275
5531	2	-76,5735	35,9279
5542	1,7	-78,6064	35,9297
5551	5,2	-77,554	35,9309
5555	2,5	-76,5119	35,9314
5562	8,6	-78,4113	35,9329
5568	3,6	-77,7319	35,9333
5572	44,2	-78,3437	35,9337
5575	1,2	-77,6113	35,934
5578	2,5	-76,7938	35,9345
5583	15,6	-78,4798	35,9349
5585	2,7	-76,7525	35,9354
5586	5,1	-77,2946	35,9362
5593	21,9	-77,8576	35,9373
5596	4,9	-78,5052	35,9377
5600	7,2	-78,4833	35,9381
5601	3	-76,9794	35,9384
5609	8,2	-78,0004	35,9395
5618	4,2	-78,1479	35,9405
5626	3,4	-77,2173	35,9414
5635	16,1	-77,8717	35,9434
5637	30,2	-78,3217	35,9441
5644	5,6	-77,9596	35,9463
5657	4,4	-77,4749	35,9484
5660	12,7	-78,5073	35,9498
5663	5,7	-77,9424	35,9505
5672	2,4	-78,0898	35,9527
5674	2,2	-77,4128	35,9529
5678	5,2	-78,3885	35,9537
5679	6,5	-78,0137	35,9537
5695	6,7	-78,1426	35,9554
5696	2,9	-76,8691	35,9555
5709	3,5	-76,7861	35,958
5713	3,5	-78,1274	35,9586
5727	6,5	-78,4067	35,9604
5732	10,9	-77,898	35,9614
5733	5,4	-78,4849	35,9622
5745	2,4	-77,096	35,9631
5747	2,7	-78,5996	35,9637
5757	23,3	-78,2903	35,9658
5762	1,2	-78,156	35,9661
5774	4,7	-78,489	35,9668
5787	3,5	-77,2754	35,9685
5792	5,1	-77,6984	35,9698
5806	1,6	-77,3557	35,9724
5825	6	-77,5394	35,9752
5826	2,3	-78,0524	35,9753
5827	3,6	-77,4534	35,9753
5830	3,5	-77,7669	35,9774
5839	4,5	-78,5231	35,979
5858	17	-77,801	35,9815
5859	3,4	-77,0343	35,9816
5865	30,6	-77,9628	35,9825
5867	7,3	-77,8216	35,9826
5871	1,6	-77,416	35,984
5883	13,2	-78,4163	35,9866
5884	17,2	-78,2423	35,9866
5893	3,4	-76,7078	35,9884
5898	11	-77,8615	35,9902
5902	6,5	-78,0808	35,992
5909	13,7	-78,1403	35,9929
5911	7,7	-78,1546	35,9935
5912	12,5	-77,8955	35,9935
5917	3,3	-76,7602	35,9945
5921	2	-78,5354	35,9951
5932	3	-77,4735	35,9966
5935	27,5	-78,3116	35,9977
5936	8,2	-77,9433	35,9977
5941	2,5	-77,7196	35,9983
5943	14,6	-77,7878	35,9996
5954	4,1	-77,6444	36,0005
5955	3,1	-77,3433	36,0006
5966	2,4	-77,1254	36,0025
5987	4,9	-78,3639	36,0042
5988	5,2	-78,3639	36,0042
6001	2,7	-77,5259	36,0071
6008	3,7	-78,0071	36,0087
6009	3,8	-78,0071	36,0087
6016	1,8	-76,8283	36,0096
6032	4	-78,0359	36,0117
6033	4,2	-78,0359	36,0117
6034	7,1	-78,1946	36,012
6035	7,5	-78,1946	36,012
6036	2,3	-78,623	36,0121
6037	2,5	-78,623	36,0121
6038	5	-77,8116	36,0124
6041	2,6	-77,2999	36,0132
6045	2,4	-77,4599	36,0143
6050	1,9	-78,6271	36,0148
6051	2	-78,6271	36,0148
6055	7,7	-78,4913	36,0153
6056	8,1	-78,4913	36,0153
6059	5,4	-77,5723	36,0159
6068	0	-77,9353	36,0165
6075	2,6	-76,5255	36,0176
6114	3,1	-78,5199	36,0242
6115	3,3	-78,5199	36,0242
6121	10,5	-78,291	36,0251
6122	11,1	-78,291	36,0251
6127	1,9	-78,6138	36,0258
6128	2	-78,6138	36,0258
6129	2,3	-76,9828	36,0263
6130	2,2	-77,6063	36,0265
6133	8,9	-78,1362	36,0273
6134	9,4	-78,1362	36,0273
6135	1,8	-78,5989	36,0274
6136	1,9	-78,5989	36,0274
6139	10,2	-78,1062	36,0284
6145	17,1	-78,0772	36,0301
6146	18	-78,0772	36,0301
6147	1,9	-77,9612	36,0301
6152	8,8	-77,7674	36,0308
6167	5,4	-77,7514	36,0332
6170	0	-77,0204	36,0334
6175	2,6	-76,5025	36,0337
6180	5,2	-77,1481	36,0341
6205	7,6	-77,7985	36,0386
6206	6,5	-78,4332	36,0388
6207	6,8	-78,4332	36,0388
6208	49,5	-78,0556	36,0404
6209	52,1	-78,0556	36,0404
6210	6,7	-78,3903	36,0407
6211	7	-78,3903	36,0407
6216	10,5	-78,0592	36,0411
6217	11	-78,0592	36,0411
6218	10	-78,0124	36,0411
6219	12,5	-78,0124	36,0411
6220	27,8	-78,2062	36,0417
6221	29,3	-78,2062	36,0417
6222	6,1	-77,4033	36,0423
6232	8	-78,3343	36,0434
6233	8,4	-78,3343	36,0434
6235	30,9	-77,9306	36,0441
6236	1,7	-77,3326	36,0441
6245	4,6	-77,7566	36,0454
6250	2,3	-78,5686	36,0463
6251	2,4	-78,5686	36,0463
6256	9,5	-78,2461	36,0468
6257	10	-78,2461	36,0468
6264	11,8	-77,9994	36,0482
6275	3	-76,5796	36,0493
6278	3,1	-77,3855	36,0503
6289	10,5	-78,1052	36,0515
6290	11	-78,1052	36,0515
6291	1,4	-78,5303	36,052
6292	1,5	-78,5303	36,052
6293	14,9	-78,3594	36,052
6294	15,7	-78,3594	36,052
6295	1,9	-78,5768	36,0525
6296	2	-78,5768	36,0525
6299	2,3	-77,5779	36,0536
6302	7	-78,0978	36,0538
6303	7,1	-78,0978	36,0538
6317	8,8	-78,1261	36,056
6318	9,2	-78,1261	36,056
6320	2,7	-78,5781	36,0564
6321	2,8	-78,5781	36,0564
6324	10	-78,4563	36,0566
6325	10,6	-78,4563	36,0566
6348	5,5	-77,6822	36,0593
6349	6,6	-77,1776	36,0595
6351	14,8	-78,1804	36,0605
6352	15,6	-78,1804	36,0605
6356	1,7	-76,7734	36,0614
6357	0	-77,0833	36,0615
6358	27,2	-77,9865	36,0619
6376	2,5	-76,5806	36,0682
6377	11,7	-77,9455	36,0683
6385	4,7	-78,3812	36,0704
6386	5	-78,3812	36,0704
6387	4,3	-78,0993	36,0704
6388	4,5	-78,0993	36,0704
6393	1,5	-78,5406	36,0709
6394	1,5	-78,5406	36,0709
6395	5,3	-78,0171	36,071
6396	5,6	-78,0171	36,071
6399	2,3	-76,5064	36,0711
6400	11,9	-78,1378	36,0713
6401	12,5	-78,1378	36,0713
6402	2,1	-77,9279	36,0713
6415	7,6	-77,8699	36,072
6416	3,2	-76,6477	36,072
6420	7,1	-78,3018	36,0722
6421	7,4	-78,3018	36,0722
6426	7,7	-78,2596	36,0735
6427	8,1	-78,2596	36,0735
6430	4,2	-78,4809	36,0743
6431	4,4	-78,4809	36,0743
6432	7,2	-78,0864	36,0751
6433	7,6	-78,0864	36,0751
6438	9,1	-78,0733	36,0758
6439	9,6	-78,0733	36,0758
6454	1,7	-77,902	36,0773
6455	2,6	-76,9757	36,0786
6458	29,8	-78,2	36,0791
6459	31,4	-78,2	36,0791
6484	4,2	-77,9306	36,0865
6493	3	-76,6738	36,0874
6499	2,3	-76,8115	36,0882
6502	5,1	-78,6022	36,0888
6503	5,4	-78,6022	36,0888
6506	4,8	-77,9222	36,089
6509	2,8	-76,6408	36,0894
6516	2,4	-76,9408	36,0897
6517	1,9	-77,4774	36,0899
6546	2,1	-78,5603	36,0936
6547	2,2	-78,5603	36,0936
6552	2,3	-77,6248	36,0939
6557	7	-77,6774	36,0949
6583	17	-77,7743	36,1017
6588	2,6	-76,6215	36,1035
6592	6,9	-78,3248	36,1041
6593	7,3	-78,3248	36,1041
6594	8,6	-78,0046	36,1042
6595	9,1	-78,0046	36,1042
6598	2,4	-78,0497	36,1047
6599	2,6	-78,0497	36,1047
6600	54,6	-78,6068	36,1048
6601	57,5	-78,6068	36,1048
6604	16	-77,8143	36,1049
6605	0,6	-76,5291	36,1056
6608	7,1	-78,4715	36,1059
6609	7,5	-78,4715	36,1059
6614	19,3	-77,8417	36,1073
6616	1,7	-76,7768	36,1079
6621	6,2	-77,9886	36,1085
6628	1,3	-77,0279	36,1095
6633	6,6	-78,3923	36,1101
6634	6,9	-78,3923	36,1101
6636	6,5	-78,1338	36,1109
6637	6,9	-78,1338	36,1109
6643	2,6	-76,4862	36,1129
6652	12,4	-77,7831	36,1149
6655	7,6	-78,2719	36,1153
6656	7,9	-78,2719	36,1153
6663	2,7	-78,2358	36,1165
6664	2,8	-78,2358	36,1165
6665	8,6	-78,0488	36,1165
6666	9	-78,0488	36,1165
6669	10,1	-78,6195	36,1172
6670	10,7	-78,6195	36,1172
6673	2,2	-76,629	36,1176
6681	1,6	-76,9701	36,1192
6690	25,3	-78,1356	36,1198
6691	26,6	-78,1356	36,1198
6692	9,9	-77,8409	36,1198
6699	1,5	-78,515	36,1212
6700	1,6	-78,515	36,1212
6703	7,4	-78,0746	36,1215
6704	7,7	-78,0746	36,1215
6719	7,5	-77,3517	36,1242
6726	9,3	-78,0251	36,1256
6727	9,8	-78,0251	36,1256
6736	2,7	-77,9566	36,1277
6738	2,2	-76,6622	36,129
6742	1,8	-77,6886	36,1307
6745	6,2	-77,88	36,1312
6754	2,7	-77,1876	36,1329
6769	7,1	-78,3699	36,1348
6770	7,5	-78,3699	36,1348
6772	1,9	-76,9029	36,1349
6775	5,4	-78,3212	36,1364
6776	5,7	-78,3212	36,1364
6777	3,1	-77,9129	36,1369
6812	7,7	-77,7427	36,1419
6821	8,4	-77,6148	36,1431
6838	7,5	-77,9827	36,1452
6841	10,1	-78,0999	36,1453
6842	10,6	-78,0999	36,1453
6843	4,2	-78,0575	36,1459
6844	4,4	-78,0575	36,1459
6845	5,8	-78,5437	36,146
6846	6,1	-78,5437	36,146
6847	4,2	-77,3485	36,1467
6852	4,4	-78,4819	36,1481
6853	4,6	-78,4819	36,1481
6862	7,6	-78,4121	36,1494
6863	8	-78,4121	36,1494
6871	6,6	-78,2935	36,1514
6872	6,9	-78,2935	36,1514
6875	4,3	-77,485	36,1521
6878	2,2	-78,2388	36,1527
6879	2,3	-78,2388	36,1527
6892	8,2	-77,8523	36,1551
6899	5	-77,0748	36,1575
6904	1,8	-78,4045	36,1599
6905	1,9	-78,4045	36,1599
6935	2,2	-78,0078	36,1659
6936	3,9	-78,0078	36,1659
6937	1,5	-76,4756	36,1659
6944	5,5	-78,123	36,1684
6945	5,8	-78,123	36,1684
6950	3,3	-77,0004	36,1696
6975	2,2	-78,4888	36,1718
6976	2,3	-78,4888	36,1718
6987	11,8	-77,6151	36,1743
6988	3,9	-78,4206	36,1749
6989	4,1	-78,4206	36,1749
6995	6,2	-78,1901	36,1757
6996	6,5	-78,1901	36,1757
7003	13,2	-77,7333	36,1762
7008	3,2	-77,0919	36,1777
7016	13,5	-77,7828	36,178
7017	2,3	-77,1817	36,1784
7024	5,6	-78,454	36,1796
7025	5,9	-78,454	36,1796
7026	2,8	-77,8987	36,1799
7043	6,9	-78,5922	36,1815
7044	7,3	-78,5922	36,1815
7045	17,2	-77,8152	36,1816
7046	7,8	-78,3013	36,1819
7047	8,3	-78,3013	36,1819
7054	4,1	-78,5583	36,1823
7055	4,3	-78,5583	36,1823
7063	6,9	-77,7224	36,1842
7068	8,4	-78,3639	36,1856
7069	8,9	-78,3639	36,1856
7070	2,9	-77,4731	36,1856
7071	3,3	-76,6602	36,1859
7072	5,5	-76,5617	36,1859
7078	4,9	-77,2343	36,1877
7081	1,4	-76,8931	36,1883
7082	2,6	-78,2022	36,1885
7083	2,7	-78,2022	36,1885
7102	23,9	-78,3242	36,1915
7103	25,2	-78,3242	36,1915
7104	2,4	-77,3872	36,1915
7107	11	-78,5134	36,1919
7108	11,5	-78,5134	36,1919
7113	4,3	-77,6833	36,1925
7135	3,1	-76,8505	36,1939
7140	4,5	-78,4048	36,1942
7141	4,8	-78,4048	36,1942
7142	1,8	-76,929	36,1945
7143	2,3	-77,4567	36,1956
7152	3,4	-77,9333	36,1969
7153	2,9	-78,249	36,1973
7154	3	-78,249	36,1973
7173	2,8	-76,7879	36,1997
7194	4	-78,0078	36,2024
7207	5,7	-78,3563	36,2035
7208	6	-78,3563	36,2035
7211	9	-76,552	36,2057
7218	12,1	-77,6148	36,2073
7221	1,2	-77,0263	36,2077
7226	9,5	-78,1096	36,2081
7227	10	-78,1096	36,2081
7233	8,7	-77,3089	36,2089
7234	3,8	-78,1042	36,2093
7235	4	-78,1042	36,2093
7236	3,5	-77,9222	36,2097
7237	25,9	-77,7275	36,2098
7244	1,8	-78,2262	36,211
7245	1,9	-78,2262	36,211
7250	6,2	-78,297	36,2123
7251	6,5	-78,297	36,2123
7256	6,6	-78,1342	36,2133
7257	7	-78,1342	36,2133
7263	1,8	-76,9961	36,2161
7264	3,4	-78,4781	36,2167
7265	3,6	-78,4781	36,2167
7266	3,7	-78,0332	36,217
7267	3,9	-78,0332	36,217
7272	4,3	-77,5676	36,2181
7273	2,8	-76,6551	36,2182
7274	3,1	-77,3938	36,2184
7282	32,4	-77,7298	36,2194
7285	4,3	-77,5807	36,2204
7286	4,7	-78,4223	36,2206
7287	5	-78,4223	36,2206
7294	3,4	-76,8255	36,2216
7296	3,6	-78,4121	36,2217
7297	3,8	-78,4121	36,2217
7298	5,1	-78,1436	36,223
7299	5,4	-78,1436	36,223
7304	4,3	-78,4499	36,2236
7305	4,5	-78,4499	36,2236
7306	4,8	-78,5737	36,2237
7307	5	-78,5737	36,2237
7312	12,7	-77,4282	36,2248
7315	5,2	-77,2967	36,2253
7318	4,8	-78,3903	36,2258
7319	5	-78,3903	36,2258
7322	4,6	-77,3672	36,2274
7324	3,6	-77,5447	36,2278
7325	33,1	-77,807	36,2279
7326	4,5	-76,5633	36,228
7334	1,7	-78,014	36,2297
7335	1,8	-78,014	36,2297
7336	29,3	-77,7688	36,2303
7339	1,9	-78,0638	36,2304
7340	2	-78,0638	36,2304
7351	1,6	-77,9708	36,2324
7354	2	-77,951	36,2326
7359	5,1	-76,6365	36,2327
7366	1,6	-78,6209	36,2344
7367	1,7	-78,6209	36,2344
7397	6,3	-78,2805	36,2387
7398	6,6	-78,2805	36,2387
7407	6,7	-78,2636	36,2408
7408	7,1	-78,2636	36,2408
7409	8	-77,7213	36,241
7422	4,3	-77,3501	36,2429
7427	4,6	-77,5449	36,244
7429	4,7	-78,3593	36,2452
7430	5	-78,3593	36,2452
7436	2,6	-76,8247	36,2459
7439	1,2	-78,1613	36,2471
7440	1,2	-78,1613	36,2471
7443	11,5	-78,4467	36,2474
7444	12,1	-78,4467	36,2474
7447	2,1	-76,5089	36,2478
7452	3,2	-77,3387	36,2489
7453	4,3	-77,5543	36,2492
7458	1,8	-78,4828	36,2501
7459	1,9	-78,4828	36,2501
7460	5,9	-78,2598	36,2501
7461	6,2	-78,2598	36,2501
7462	4,2	-77,1785	36,2504
7467	4,1	-77,2225	36,2512
7468	3,3	-76,7548	36,2512
7473	3,3	-77,9226	36,2517
7483	3,7	-76,664	36,2534
7486	3,8	-77,0018	36,2536
7495	8,1	-77,8911	36,2552
7504	8,1	-77,7593	36,2569
7515	1,6	-78,0034	36,2583
7516	1,7	-78,0034	36,2583
7517	2,9	-77,071	36,2583
7532	2,6	-76,6392	36,2592
7534	1,8	-76,618	36,26
7541	4,5	-77,3701	36,2616
7544	2,2	-77,9374	36,2624
7552	6,3	-78,3908	36,2631
7553	6,6	-78,3908	36,2631
7562	8,9	-77,1685	36,265
7563	5,7	-77,3302	36,2654
7584	1,8	-78,5861	36,2668
7585	1,9	-78,5861	36,2668
7590	1,7	-76,8007	36,2676
7596	3,9	-78,5659	36,2681
7597	4,2	-78,5659	36,2681
7609	7,4	-78,2699	36,2691
7610	7,7	-78,2699	36,2691
7613	12,7	-77,7867	36,2704
7614	3,4	-78,1314	36,2706
7615	3,6	-78,1314	36,2706
7616	3,1	-76,5517	36,2708
7617	40,2	-77,825	36,2711
7628	2,4	-78,4487	36,2734
7629	2,5	-78,4487	36,2734
7632	2,6	-78,4871	36,2742
7633	2,7	-78,4871	36,2742
7636	3	-77,048	36,2748
7639	31	-77,7046	36,2753
7645	3,6	-77,4759	36,2758
7648	2,3	-77,1059	36,2765
7651	1,5	-78,6077	36,2768
7652	1,6	-78,6077	36,2768
7658	11,7	-77,8802	36,2778
7663	12,1	-77,7446	36,2784
7666	1,6	-77,9601	36,2794
7669	8,7	-77,0018	36,2797
7673	3	-77,1534	36,28
7674	2,1	-76,5944	36,2801
7675	2,9	-77,1955	36,2806
7685	31	-77,6954	36,2834
7688	7,7	-78,3434	36,2837
7689	8,1	-78,3434	36,2837
7693	3	-76,9471	36,2848
7694	3,3	-78,4351	36,2849
7695	3,5	-78,4351	36,2849
7698	4,2	-77,2545	36,2851
7699	7	-78,3779	36,2855
7700	7,4	-78,3779	36,2855
7701	3	-76,7952	36,2855
7704	3,6	-76,9183	36,286
7711	4,2	-78,0378	36,2865
7712	4,5	-78,0378	36,2865
7713	3,3	-76,6469	36,2867
7716	2	-78,186	36,2874
7717	2,2	-78,186	36,2874
7735	1,3	-78,0124	36,29
7736	1,4	-78,0124	36,29
7743	10,1	-77,8152	36,2915
7760	4,9	-77,3033	36,2945
7761	2,4	-78,0668	36,2948
7762	2,6	-78,0668	36,2948
7763	1,9	-77,9217	36,2948
7772	9,8	-78,2914	36,2977
7773	10,3	-78,2914	36,2977
7778	9,4	-78,2374	36,2988
7779	9,9	-78,2374	36,2988
7780	2,7	-76,6388	36,2991
7796	8,6	-77,6684	36,302
7797	0,1	-77,1382	36,3024
7800	3,8	-76,621	36,3028
7809	1	-78,4512	36,3036
7810	1	-78,4512	36,3036
7815	3,3	-76,4987	36,3042
7818	4,7	-78,0575	36,3046
7819	4,9	-78,0575	36,3046
7820	3,6	-77,3834	36,3049
7829	26	-77,7201	36,3066
7830	23,3	-77,636	36,3066
7833	2	-78,0498	36,3075
7834	2,1	-78,0498	36,3075
7839	3,5	-76,9894	36,308
7840	4,7	-78,0961	36,3081
7841	4,9	-78,0961	36,3081
7848	4,3	-76,5468	36,3088
7856	1,6	-77,9802	36,3105
7861	3,5	-77,19	36,3107
7862	4,7	-78,5034	36,3113
7863	4,9	-78,5034	36,3113
7864	2,3	-77,3449	36,3114
7865	1,2	-77,9512	36,3121
7868	3,1	-76,6541	36,3128
7869	5,5	-77,6987	36,3131
7878	3,6	-78,5619	36,3143
7879	3,8	-78,5619	36,3143
7882	8,9	-78,5323	36,3146
7883	9,4	-78,5323	36,3146
7890	4,8	-78,319	36,3154
7891	5	-78,319	36,3154
7894	3,1	-76,9358	36,3164
7895	21,7	-77,7196	36,3166
7898	5,2	-78,089	36,3176
7899	5,5	-78,089	36,3176
7902	1,5	-77,9745	36,3188
7913	1	-78,4577	36,3214
7914	1,1	-78,4577	36,3214
7917	22,9	-77,592	36,3217
7922	5,7	-78,2834	36,3226
7923	6	-78,2834	36,3226
7926	2,1	-76,8303	36,323
7929	5,1	-77,0885	36,3236
7934	2,5	-78,4712	36,3249
7935	2,7	-78,4712	36,3249
7938	4,3	-78,2758	36,3262
7939	4,6	-78,2758	36,3262
7940	33,6	-77,8703	36,327
7941	5,6	-77,1561	36,3278
7942	2,9	-76,5856	36,3282
7947	2,8	-78,2361	36,3286
7948	2,9	-78,2361	36,3286
7955	1,9	-77,0362	36,3294
7960	9,8	-77,9259	36,3305
7961	3,3	-76,5234	36,3306
7970	18,4	-77,8481	36,3311
7973	4,2	-76,4998	36,3313
7980	19,2	-77,7577	36,3316
7988	3,5	-77,2813	36,3326
7990	0	-76,9713	36,3329
7993	11,5	-77,9374	36,333
7996	7,3	-77,9133	36,3331
8001	2,1	-78,5937	36,3343
8002	2,2	-78,5937	36,3343
8009	2,6	-77,4681	36,3347
8012	3,9	-77,5283	36,3351
8023	3,3	-78,1756	36,3368
8024	3,5	-78,1756	36,3368
8027	5,6	-78,3225	36,3372
8028	5,9	-78,3225	36,3372
8035	19,8	-77,6029	36,3387
8036	22,4	-78,113	36,3388
8037	23,6	-78,113	36,3388
8038	1,5	-77,9918	36,3389
8044	17,4	-77,7543	36,3404
8053	2,6	-77,3718	36,3433
8054	2,3	-76,4765	36,3434
8059	5,8	-78,147	36,3452
8060	6,1	-78,147	36,3452
8061	29,1	-77,7065	36,3454
8066	3,1	-76,6388	36,3461
8071	2,4	-77,2571	36,3469
8072	8,3	-77,6793	36,3471
8073	2,9	-76,6634	36,3477
8076	13,1	-77,975	36,3479
8077	11,4	-77,7527	36,3484
8078	4,4	-77,2153	36,3487
8079	2,4	-77,3345	36,3491
8084	21,5	-77,0946	36,3501
8085	5,3	-78,0187	36,3507
8086	5,6	-78,0187	36,3507
8089	3,1	-78,1359	36,3508
8090	3,3	-78,1359	36,3508
8116	2,9	-78,1903	36,3543
8117	3	-78,1903	36,3543
8118	3,4	-78,5675	36,3547
8119	3,6	-78,5675	36,3547
8134	3,1	-76,5845	36,3562
8135	2,1	-78,4266	36,3567
8136	2,2	-78,4266	36,3567
8148	2,7	-76,8754	36,3593
8151	3,7	-77,014	36,36
8154	3,2	-76,9697	36,3612
8155	7,1	-78,2728	36,3614
8156	7,4	-78,2728	36,3614
8167	14,1	-77,6578	36,3635
8175	3,3	-76,6223	36,3645
8182	36,2	-78,0185	36,3659
8183	38,1	-78,0185	36,3659
8184	7,6	-78,3031	36,3661
8185	8	-78,3031	36,3661
8186	5	-78,225	36,3661
8187	5,2	-78,225	36,3661
8197	4,7	-77,9491	36,3679
8204	3,5	-78,4082	36,3686
8205	3,7	-78,4082	36,3686
8208	2,8	-77,5232	36,369
8209	2,4	-77,091	36,3693
8212	16	-77,8349	36,3694
8221	4,2	-76,9351	36,3719
8222	6	-78,2348	36,3721
8223	6,3	-78,2348	36,3721
8236	5,2	-77,8945	36,3737
8238	4,7	-78,1679	36,3747
8239	4,9	-78,1679	36,3747
8242	6,5	-77,5887	36,3748
8251	8,6	-77,7344	36,3761
8252	3	-77,1618	36,3762
8259	2,1	-77,2736	36,3774
8260	2,7	-77,8518	36,378
8261	25,8	-77,9793	36,3783
8262	4,1	-78,518	36,3793
8263	4,3	-78,518	36,3793
8264	11,8	-77,8717	36,3794
8265	1,9	-78,503	36,3798
8266	2	-78,503	36,3798
8267	3,4	-77,2073	36,3804
8274	2	-78,446	36,3814
8275	2,1	-78,446	36,3814
8282	13,1	-77,7588	36,3827
8287	6,7	-77,4485	36,384
8290	2,9	-78,3928	36,3848
8291	3	-78,3928	36,3848
8296	5	-78,319	36,3857
8297	5,2	-78,319	36,3857
8300	3,2	-76,6982	36,386
8301	3,8	-77,919	36,3861
8302	2,9	-77,2345	36,3862
8303	4,3	-78,2134	36,3864
8304	4,6	-78,2134	36,3864
8307	3,2	-77,0552	36,3866
8314	3,2	-76,5938	36,388
8319	1,9	-77,9362	36,3883
8322	2,2	-78,2628	36,3885
8323	2,3	-78,2628	36,3885
8324	2	-78,4871	36,3897
8325	2,1	-78,4871	36,3897
8332	4	-77,1335	36,39
8333	6,2	-78,135	36,3902
8334	6,5	-78,135	36,3902
8343	2,3	-77,4016	36,392
